Number,Order of Magnitude,Time
9441011,6,3.98336
3789611,6,4.84352
8095059,6,3.9936
2455333,6,3.986432
1590191,6,4.027392
1376037,6,4.527104
2174947,6,3.984384
1341687,6,4.026368
3110491,6,3.987456
6428043,6,4.891648
3063231,6,4.0192
2564449,6,4.90496
9994809,6,4.891648
3897137,6,4.719616
4541959,6,3.985408
6259677,6,3.9936
3612069,6,3.985408
5132491,6,3.987456
5473919,6,3.98336
1586539,6,3.98336
7531667,6,4.000768
4470043,6,4.001792
1061363,6,3.989504
5999499,6,3.98848
9550157,6,3.98848
5167999,6,3.98848
9967121,6,3.986432
7350771,6,3.989504
2870583,6,4.578304
5024319,6,3.989504
8071637,6,3.989504
3850769,6,3.997696
8794383,6,4.422656
9466439,6,3.986432
7749367,6,3.987456
5756531,6,3.989504
5414763,6,3.987456
1302627,6,3.986432
1403601,6,4.140032
6170099,6,3.992576
3787783,6,3.985408
4502623,6,4.043776
8677191,6,3.989504
4990391,6,3.986432
3335157,6,4.857856
3690831,6,4.41344
3514429,6,4.873216
1305093,6,4.017152
1072817,6,4.00384
1710807,6,3.991552
1140249,6,3.992576
3717341,6,3.989504
3490053,6,4.015104
4252579,6,4.021248
3462103,6,3.987456
8121359,6,3.992576
8368333,6,4.719616
5760919,6,4.878336
6275199,6,3.987456
7176969,6,3.989504
2408173,6,4.868096
7241897,6,3.987456
8674131,6,3.987456
1966107,6,3.985408
7651067,6,4.007936
5274133,6,3.985408
6504739,6,3.98848
7733997,6,5.031936
1825537,6,3.992576
4331933,6,4.862976
2800853,6,3.9936
8902791,6,3.987456
2826917,6,3.986432
3333251,6,3.98848
8907183,6,4.054016
5081561,6,4.022272
5716191,6,4.893696
7974923,6,4.004864
4228831,6,4.027392
3416573,6,4.01408
3489913,6,4.011008
3442773,6,3.98848
8460639,6,4.913152
6839847,6,3.990528
19886251,7,3.990528
65973887,7,3.985408
62288227,7,3.987456
16909581,7,3.989504
10514069,7,4.000768
85945067,7,4.902912
84479233,7,4.016128
37090461,7,3.98848
77729381,7,3.985408
19807759,7,4.877312
42265359,7,3.98848
92354909,7,3.994624
22839143,7,3.987456
15076261,7,3.98848
80477643,7,3.989504
80403249,7,3.986432
85705577,7,3.98848
13714783,7,4.854784
75046501,7,3.989504
35673559,7,3.989504
45376941,7,4.015104
41568603,7,4.871168
59982149,7,3.984384
20020583,7,3.985408
82646063,7,4.007936
10777157,7,3.989504
80275859,7,3.99872
23299233,7,4.02944
96366643,7,4.506624
15147281,7,3.984384
32034371,7,3.986432
20524681,7,3.986432
75444637,7,3.986432
60212177,7,3.9936
98641683,7,4.033536
22806817,7,3.984384
31316201,7,4.03968
61641849,7,3.98848
59019641,7,3.989504
64312321,7,3.990528
75444597,7,3.984384
64032127,7,4.13696
66947239,7,4.844544
26800869,7,4.8896
85423769,7,3.994624
76099601,7,3.985408
74912449,7,3.985408
19263307,7,3.984384
63856597,7,3.996672
67699389,7,3.989504
34158267,7,3.986432
33802871,7,4.897792
87393069,7,3.986432
93289143,7,4.916224
32580887,7,4.020224
22466387,7,4.878336
39275093,7,4.004864
42988557,7,4.553728
54416243,7,3.985408
19031169,7,4.02432
73430379,7,4.006912
56875969,7,3.98848
64827937,7,4.862976
51707547,7,3.997696
16021567,7,4.272128
55989381,7,4.980736
52350309,7,4.511744
23151439,7,3.986432
22726951,7,4.273152
15286233,7,3.984384
57324101,7,3.990528
10625573,7,3.987456
96279359,7,3.986432
12698053,7,3.992576
78287533,7,3.986432
55266773,7,3.986432
39095707,7,4.006912
33130621,7,4.03456
87027647,7,4.000768
74178439,7,3.984384
89516031,7,3.985408
40389349,7,4.134912
96828819,7,3.986432
78279683,7,3.986432
79708489,7,3.995648
72183933,7,3.9936
51366467,7,3.987456
11379979,7,3.994624
11614123,7,3.984384
65714189,7,3.99872
21704759,7,3.996672
52893733,7,3.98848
76649979,7,3.989504
49376017,7,3.989504
96696727,7,3.990528
10391053,7,4.02432
61315327,7,3.994624
49685919,7,4.1984
50455763,7,3.989504
39349367,7,3.996672
971320849,8,4.851712
370966283,8,3.9936
795334897,8,4.313088
458008989,8,3.995648
550610659,8,4.033536
390406947,8,4.888576
328978467,8,4.001792
376033033,8,4.015104
339082593,8,4.006912
148492929,8,4.916224
300758679,8,3.986432
781209817,8,4.018176
970361507,8,3.987456
709237017,8,4.107264
691940767,8,3.98848
370632279,8,3.995648
218664693,8,3.986432
612745201,8,4.01408
467664207,8,4.064256
872080939,8,4.880384
491229123,8,4.032512
