Number,Order of Magnitude,Time
438469,5,0.0005
858723,5,0.0002
390359,5,0.0037
216241,5,0.0007
360369,5,0.0002
473443,5,0.004
552073,5,0.0004
701497,5,0.0048
594919,5,0.0003
808279,5,0.0003
592333,5,0.0002
935587,5,0.0055
599293,5,0.0014
960573,5,0.0002
741811,5,0.0003
988871,5,0.0002
208329,5,0.0002
297577,5,0.0003
381953,5,0.0003
796979,5,0.0007
817387,5,0.0004
533993,5,0.0042
7796147,6,0.0155
5917519,6,0.0134
1776191,6,0.0014
9032687,6,0.0004
4903879,6,0.0123
8770763,6,0.0006
9675033,6,0.0002
5340341,6,0.0127
2574979,6,0.0002
4741081,6,0.0121
3320967,6,0.0002
9987409,6,0.0153
2562283,6,0.0004
6951311,6,0.0007
8464473,6,0.0002
9114307,6,0.0117
9441011,6,0.0011
3789611,6,0.0003
8095059,6,0.0002
2455333,6,0.0009
1590191,6,0.0007
1376037,6,0.0001
2174947,6,0.0081
1341687,6,0.0002
3110491,6,0.0005
6428043,6,0.0002
3063231,6,0.0002
2564449,6,0.0003
9994809,6,0.0002
3897137,6,0.008
4541959,6,0.0045
6259677,6,0.0002
3612069,6,0.0001
5132491,6,0.0002
5473919,6,0.0003
1586539,6,0.0071
7531667,6,0.0002
4470043,6,0.0117
1061363,6,0.0058
5999499,6,0.0002
9550157,6,0.0152
5167999,6,0.0036
9967121,6,0.0006
7350771,6,0.0002
2870583,6,0.0002
5024319,6,0.0001
8071637,6,0.0002
3850769,6,0.0002
8794383,6,0.0002
9466439,6,0.0004
7749367,6,0.0003
5756531,6,0.0002
5414763,6,0.0002
1302627,6,0.0002
1403601,6,0.0002
6170099,6,0.0003
3787783,6,0.0002
4502623,6,0.0118
8677191,6,0.0001
4990391,6,0.0002
3335157,6,0.0004
3690831,6,0.0002
3514429,6,0.0006
1305093,6,0.0002
1072817,6,0.0004
1710807,6,0.0002
1140249,6,0.0002
3717341,6,0.011
3490053,6,0.0002
4252579,6,0.0016
3462103,6,0.0103
8121359,6,0.0004
8368333,6,0.0059
5760919,6,0.0118
6275199,6,0.0001
7176969,6,0.0002
2408173,6,0.0004
7241897,6,0.0003
8674131,6,0.0002
1966107,6,0.0002
7651067,6,0.0149
5274133,6,0.0127
6504739,6,0.0004
7733997,6,0.0001
1825537,6,0.0002
4331933,6,0.0004
2800853,6,0.0002
8902791,6,0.0002
2826917,6,0.0093
3333251,6,0.0102
8907183,6,0.0006
5081561,6,0.0125
5716191,6,0.0002
7974923,6,0.0006
4228831,6,0.0006
3416573,6,0.0012
3489913,6,0.0002
3442773,6,0.0002
8460639,6,0.0001
6839847,6,0.0002
19886251,7,0.0002
65973887,7,0.0002
62288227,7,0.0231
16909581,7,0.0002
10514069,7,0.0178
85945067,7,0.0003
84479233,7,0.0004
37090461,7,0.0002
77729381,7,0.0482
19807759,7,0.0013
42265359,7,0.0001
92354909,7,0.0015
22839143,7,0.0003
15076261,7,0.0004
80477643,7,0.0002
80403249,7,0.0002
85705577,7,0.0006
13714783,7,0.0008
75046501,7,0.0213
35673559,7,0.0014
45376941,7,0.0002
41568603,7,0.0002
59982149,7,0.0006
20020583,7,0.0002
82646063,7,0.0526
10777157,7,0.0008
80275859,7,0.0005
23299233,7,0.0002
96366643,7,0.0011
15147281,7,0.0006
32034371,7,0.0006
20524681,7,0.0249
75444637,7,0.0036
60212177,7,0.0013
98641683,7,0.0002
22806817,7,0.0002
31316201,7,0.0002
61641849,7,0.0002
59019641,7,0.0151
64312321,7,0.0003
75444597,7,0.0001
64032127,7,0.0005
66947239,7,0.0046
26800869,7,0.0002
85423769,7,0.0004
76099601,7,0.0477
74912449,7,0.0003
19263307,7,0.0002
63856597,7,0.0002
67699389,7,0.0003
34158267,7,0.0002
33802871,7,0.0319
87393069,7,0.0002
93289143,7,0.0001
32580887,7,0.0048
22466387,7,0.0003
39275093,7,0.0002
42988557,7,0.0002
54416243,7,0.0002
19031169,7,0.0002
73430379,7,0.0002
56875969,7,0.0005
64827937,7,0.0116
51707547,7,0.0002
16021567,7,0.022
55989381,7,0.0002
52350309,7,0.0002
23151439,7,0.0007
22726951,7,0.0003
15286233,7,0.0003
57324101,7,0.0172
10625573,7,0.0002
96279359,7,0.0004
12698053,7,0.0029
78287533,7,0.0003
55266773,7,0.0408
39095707,7,0.0002
33130621,7,0.0023
87027647,7,0.0002
74178439,7,0.0007
89516031,7,0.0001
40389349,7,0.0002
96828819,7,0.0001
78279683,7,0.0007
79708489,7,0.0003
72183933,7,0.0002
51366467,7,0.0005
11379979,7,0.0002
11614123,7,0.0004
65714189,7,0.0187
21704759,7,0.0028
52893733,7,0.0015
76649979,7,0.0002
49376017,7,0.0385
96696727,7,0.0058
10391053,7,0.0179
61315327,7,0.0004
49685919,7,0.0002
50455763,7,0.0389
39349367,7,0.0334
971320849,8,0.0008
370966283,8,0.1085
795334897,8,0.0006
458008989,8,0.0002
550610659,8,0.0008
390406947,8,0.0001
328978467,8,0.0002
376033033,8,0.0713
339082593,8,0.0002
148492929,8,0.0002
300758679,8,0.0002
781209817,8,0.1531
970361507,8,0.002
709237017,8,0.0001
691940767,8,0.0002
370632279,8,0.0002
218664693,8,0.0003
612745201,8,0.0135
467664207,8,0.0002
872080939,8,0.1609
491229123,8,0.0002
825300197,8,0.0004
244445639,8,0.0854
744604401,8,0.0002
703363081,8,0.0004
373888571,8,0.0003
335944763,8,0.0002
236828293,8,0.0002
868932191,8,0.0003
755167611,8,0.0002
624315863,8,0.003
122385281,8,0.0604
843303247,8,0.1613
739230249,8,0.0002
151627537,8,0.003
320564369,8,0.0976
713183643,8,0.0002
330280533,8,0.0001
748675591,8,0.159
753037183,8,0.1498
253475617,8,0.0003
307632333,8,0.0002
712998017,8,0.0671
425670853,8,0.0009
459012979,8,0.0006
322757113,8,0.0005
925164943,8,0.2023
276484269,8,0.0002
392291237,8,0.0002
927598741,8,0.0005
491308229,8,0.0058
947353643,8,0.0004
950388489,8,0.0002
610150353,8,0.0004
426000869,8,0.0003
405312969,8,0.0002
123722991,8,0.0002
735824233,8,0.148
817192137,8,0.0002
744755137,8,0.0002
273077981,8,0.0002
489919841,8,0.1355
336714361,8,0.0086
768508257,8,0.0002
506268219,8,0.0001
495517487,8,0.0188
749694033,8,0.0002
615385797,8,0.0002
759382077,8,0.0002
124248107,8,0.0743
807677467,8,0.0268
909562077,8,0.0002
843770759,8,0.0003
548468281,8,0.0003
139988089,8,0.0069
491711121,8,0.0002
524578029,8,0.0002
708801969,8,0.0003
163164693,8,0.0002
216978327,8,0.0001
758334729,8,0.0002
402776381,8,0.0002
607116667,8,0.0006
413749349,8,0.0003
936185709,8,0.0002
790878513,8,0.0002
698710491,8,0.0002
368463473,8,0.0002
141242123,8,0.0002
104940731,8,0.0002
877378531,8,0.165
277688901,8,0.0002
268221597,8,0.0002
907015267,8,0.0003
677665191,8,0.0002
106607223,8,0.0002
644136653,8,0.1414
955708809,8,0.0002
269021761,8,0.0899
450731709,8,0.0002
3540101327,9,0.0002
7632541563,9,0.0002
4489767613,9,0.2764
1246266899,9,0.0008
1349000341,9,0.0003
4014320351,9,0.2819
7031885733,9,0.0002
7787507729,9,0.4807
9718094693,9,0.0003
3988546481,9,0.0003
1860381203,9,0.0022
6372122349,9,0.0002
2921304367,9,0.0045
4276993011,9,0.0003
4167945229,9,0.0003
2225897439,9,0.0002
3173595281,9,0.3286
5760888067,9,0.0002
7009476799,9,0.0003
6205928587,9,0.3363
3243690161,9,0.0004
8566135363,9,0.5689
3573514361,9,0.0006
7625585453,9,0.0005
4600920031,9,0.0049
7342902967,9,0.0005
7814019869,9,0.0003
2178423051,9,0.0002
3606533841,9,0.0003
9058451331,9,0.0002
7923202653,9,0.0001
2595887903,9,0.0002
7177544183,9,0.4668
3263942031,9,0.0002
7122949003,9,0.0019
5670609859,9,0.0003
5277712019,9,0.0534
5533089597,9,0.0001
3534755409,9,0.0004
9332398347,9,0.0002
2105588707,9,0.2538
1045227753,9,0.0002
4185021443,9,0.0027
6994202113,9,0.0003
9967989791,9,0.5679
1940250291,9,0.0002
2966151291,9,0.0002
2054266831,9,0.0081
2773857469,9,0.2871
6118794231,9,0.0002
2075574901,9,0.0004
1945029283,9,0.0004
1964277527,9,0.001
5000982571,9,0.0002
2749013253,9,0.0003
8269602347,9,0.4961
8448009127,9,0.0004
8774847081,9,0.0001
8084131351,9,0.0469
4672090079,9,0.0005
5150568887,9,0.0002
3751601003,9,0.0008
4589415713,9,0.0005
5492369079,9,0.0002
5616674807,9,0.0443
2914985477,9,0.0003
5920255411,9,0.0002
1993612737,9,0.0002
2594237571,9,0.0002
2879401481,9,0.0002
1498004893,9,0.0002
9222085693,9,0.0003
9017675029,9,0.0003
7082152539,9,0.0002
8190221307,9,0.0002
2783143107,9,0.0002
8424653179,9,0.0242
6938154003,9,0.0001
3723559871,9,0.3324
8255447717,9,0.0002
2482271397,9,0.0002
3980539327,9,0.0018
1572913933,9,0.0003
2913581969,9,0.2942
1156370743,9,0.0003
7792211187,9,0.0002
3589372429,9,0.0004
3532496343,9,0.0002
1431440067,9,0.0002
8311498183,9,0.001
9683198167,9,0.2675
8041977329,9,0.0005
6101853159,9,0.0002
4214520077,9,0.0015
6886148561,9,0.3889
5553020491,9,0.4189
2409060859,9,0.0413
3065557913,9,0.0003
3338345989,9,0.0003
2633542579,9,0.0006
66410255567,10,0.0004
72868523907,10,0.0002
14497483487,10,0.0003
22361683319,10,0.0003
34519167461,10,0.0004
14842917157,10,0.0009
52498537367,10,1.251
19742190277,10,0.0003
11772163879,10,0.0002
46873321697,10,1.1973
73746867951,10,0.0002
15972026093,10,0.0029
66254559689,10,0.0014
78246319357,10,0.0201
93935312433,10,0.0002
41920872871,10,0.0005
54425591099,10,0.0002
29649803489,10,0.0012
90354928971,10,0.0001
24054451603,10,0.0002
31788406317,10,0.0002
17970950093,10,0.0006
95022376917,10,0.0002
14992155463,10,0.0074
91239000933,10,0.0002
42237251501,10,0.0092
27822018719,10,0.0002
75184318497,10,0.0002
43785620851,10,0.0002
68461628183,10,0.0003
29226105903,10,0.0002
69075271269,10,0.0002
40620363837,10,0.0002
55588019879,10,0.0002
87071263223,10,0.0002
95958899251,10,1.7273
36884573281,10,0.0005
20184621817,10,0.0032
89664611067,10,0.0002
98913832629,10,0.0002
26873834129,10,0.0004
99781455859,10,1.7719
61781383851,10,0.0004
49306370061,10,0.0002
30714085007,10,0.9776
90091477381,10,0.0021
36878625263,10,0.0003
59263092347,10,0.0004
98358762691,10,0.0002
47232685237,10,0.0036
51503328129,10,0.0002
36708927001,10,0.0003
28565555529,10,0.0002
95186863181,10,0.0382
21468584009,10,0.0006
30198157893,10,0.0002
48696754723,10,1.2111
62295686079,10,0.0002
58850646679,10,0.0002
58383037947,10,0.0002
36479716557,10,0.0002
73691147343,10,0.0002
92132575487,10,0.001
34949055843,10,0.0002
83821528859,10,0.0007
77641514777,10,0.0003
38362879477,10,0.0002
53822380749,10,0.0002
61330703489,10,0.0003
14194778829,10,0.0001
48158436301,10,0.0008
41022588303,10,0.0001
33167155027,10,0.0009
23102244097,10,0.0012
41304429929,10,0.0004
94208762387,10,0.0088
35368743163,10,0.0002
98929252353,10,0.0003
77525383199,10,0.0003
69794383137,10,0.0002
47091126679,10,0.0006
84909446631,10,0.0002
37485486307,10,0.0145
60798265211,10,0.0148
50160162863,10,0.0068
40352841731,10,1.2457
45888593313,10,0.0005
12118314529,10,0.0038
13389177227,10,0.6331
19796154573,10,0.0002
36544026833,10,0.0047
89561601311,10,0.0003
10550601489,10,0.0001
16816376949,10,0.0002
27204640053,10,0.0002
62461091601,10,0.0002
69972995101,10,0.0008
96988955627,10,0.1177
58508207211,10,0.0002
44547311557,10,0.0003
576191299567,11,0.0002
442686733563,11,0.0002
675719717023,11,0.0005
687307578857,11,0.0014
712474224323,11,4.7942
252548617613,11,0.0007
776782292569,11,5.5631
807940335851,11,0.0002
917649633679,11,0.0003
731949109673,11,0.0012
862438897821,11,0.0002
724722574731,11,0.0002
519920646893,11,0.0007
257412121217,11,2.8318
429039454271,11,0.0003
703893798821,11,0.3754
408298363739,11,0.0002
913873162443,11,0.0002
495625464987,11,0.0003
945075531941,11,5.6411
172013472439,11,0.0008
416661144791,11,0.0042
750742811511,11,0.0002
821604054007,11,0.0003
833392972833,11,0.0002
296357202543,11,0.0002
157372418593,11,0.0002
143919527827,11,2.1428
998378557169,11,0.0002
483474396767,11,0.0004
448257947891,11,0.0003
805594109899,11,0.5996
857919491603,11,0.0003
971322522183,11,0.0001
582778583699,11,0.0003
861499214151,11,0.0002
927763139423,11,0.0002
873057274489,11,0.0018
312550548929,11,0.0003
866927741641,11,0.0003
281709375467,11,0.0002
560084880903,11,0.0002
622454900209,11,0.0024
316125135939,11,0.0002
206497538839,11,0.0092
567489594923,11,0.0004
727604704393,11,0.0002
269007419917,11,0.0005
270603177139,11,0.0003
334838933269,11,0.0004
792089071477,11,0.0003
550200277391,11,0.1782
746016610883,11,0.0003
539130586819,11,0.0002
846957691517,11,0.0002
384735325749,11,0.0003
349313214761,11,0.0002
673565696741,11,0.0002
186708290591,11,0.0003
739982723301,11,0.0002
710921634647,11,0.0003
804069838279,11,0.0006
444185602977,11,0.0001
810175927743,11,0.0001
657512259637,11,4.6096
681238975229,11,4.6425
952646741781,11,0.0003
941778558031,11,0.0029
446464625989,11,3.7005
873123363799,11,0.0005
479833464513,11,0.0002
275133469977,11,0.0002
410674595433,11,0.0001
364060059411,11,0.0002
769659404921,11,0.0002
274328584361,11,0.0002
842702532303,11,0.0002
585543953639,11,0.0215
138507278573,11,0.0002
130163075611,11,0.0003
922523706249,11,0.0002
682617599287,11,0.0003
667485824713,11,0.0008
459438551239,11,0.0003
127823828877,11,0.0002
632953102011,11,0.0002
824290805523,11,0.0002
483376605577,11,0.0006
767862194551,11,0.6954
899350855979,11,1.0152
243301638207,11,0.0001
123054897043,11,0.0003
391105094499,11,0.0002
454317771303,11,0.0002
865464864589,11,0.0002
693041764163,11,0.0002
686743854449,11,4.9111
676760829003,11,0.0002
884849169303,11,0.0002
438416768559,11,0.0001
5538338508853,12,13.2951
1041969619801,12,0.0003
5519587390889,12,0.0003
1595554642547,12,7.4606
9173226483239,12,0.0002
2495657904367,12,0.0046
4127466382819,12,0.0003
6701807213829,12,0.0001
3186317480261,12,10.6536
9264081271279,12,0.0009
8258034816099,12,0.0002
6973879320409,12,0.0007
4606779254583,12,0.0002
5442290465529,12,0.0001
7497460414629,12,0.0002
5545029716319,12,0.0002
8294437949199,12,0.0002
8887589283801,12,0.0002
3568309496691,12,0.0002
4726956194487,12,0.0002
5746802630399,12,6.7038
5404047116251,12,0.0002
5314010130349,12,0.0002
5886212780037,12,0.0004
6621433257073,12,0.1332
8050530873979,12,0.0002
8547569956647,12,0.0002
8886526794943,12,0.0003
9386172137639,12,0.0002
9128480226831,12,0.0001
3049111789967,12,0.0003
2117770439721,12,0.0002
2191032747193,12,8.332
7972067868561,12,0.0001
8178790237511,12,0.0263
6668948624789,12,0.0003
6444243449083,12,0.0003
3792385918319,12,0.0002
5403714045371,12,0.0005
1795253909577,12,0.0002
9595907413647,12,0.0002
2961605421423,12,0.0001
2422318928263,12,0.0003
8628205480583,12,0.0002
5421851486899,12,0.0091
8902048196609,12,0.2839
5003648777923,12,0.0043
1963444849979,12,3.3125
4340354483209,12,0.0009
7763681722081,12,0.0034
2876997662359,12,0.0007
9120368458023,12,0.0002
1007724450841,12,0.0003
5182000649591,12,0.0004
6966996612453,12,0.0002
9388004998303,12,0.0003
9705943710277,12,0.0004
1351132644167,12,0.0005
6642508517209,12,15.304
4951707035439,12,0.0002
1879102209851,12,7.061
7831804154441,12,0.0006
5911748489901,12,0.0002
2411408943877,12,0.0015
6762543385641,12,0.0002
8153844487389,12,0.0002
1610731282863,12,0.0002
6771170973287,12,0.0002
8152642960649,12,0.0002
3460135189449,12,0.0002
5983406611959,12,0.0003
4962369990547,12,0.0003
9634547279141,12,0.0017
3421892991219,12,0.0002
2412767673919,12,0.0006
3235755587933,12,0.0002
7717299035363,12,0.0004
8762361715473,12,0.0002
4860203070349,12,0.0003
9496682206589,12,0.3863
7131261265911,12,0.0002
9995301398139,12,0.0002
8476364252627,12,0.0142
6064447650147,12,0.0001
6196196916119,12,0.0002
5968193415807,12,0.0002
1481392297611,12,0.0002
1255438043331,12,0.0002
1642325840107,12,0.0007
6991917567103,12,0.0002
6253525258651,12,0.0003
8180809967287,12,11.0439
2150068579849,12,8.1856
9676028305043,12,17.8018
5807836372033,12,0.0003
2736711599641,12,0.0003
6600558608161,12,0.0002
1459735753103,12,0.0059
2829356133061,12,0.0006
3267753283939,12,0.0339
13075628361541,13,0.122
28692319096163,13,0.001
12455804086091,13,0.0006
11281675352699,13,0.0205
75783436551503,13,0.0004
65526868592849,13,25.2475
26539374672959,13,0.005
41099962108701,13,0.0002
66183887443241,13,45.6427
10402075666699,13,0.0006
10072824186313,13,0.0002
14105523430587,13,0.0002
24101760689463,13,0.0002
54036762714909,13,0.0002
13196326461903,13,0.0002
22491628844847,13,0.0002
61332963841339,13,0.0014
78042491641671,13,0.0002
38841838670237,13,35.7962
75107946449073,13,0.0002
74681540838291,13,0.0001
39908380733817,13,0.0001
11110291947469,13,0.0002
63408584530769,13,0.0004
37536944531957,13,0.0003
43797269408733,13,0.0002
80155054095453,13,0.0002
71788584320373,13,0.0005
78879447331231,13,0.0334
67594466278587,13,0.0002
93004525890489,13,0.0002
53006422042713,13,0.0002
42512092053783,13,0.0002
15610943134061,13,0.0003
85076090433213,13,0.0002
74833483930921,13,0.0003
61200141269959,13,0.0005
81848145538457,13,0.0003
23560504346633,13,0.0005
56684932565789,13,0.0003
35392734930569,13,5.0356
91064442873073,13,0.0005
98956505192869,13,2.2678
93154933796437,13,54.5872
36729931935551,13,0.0004
27862946886377,13,29.8272
64550603007387,13,0.0002
73731122711779,13,0.0003
80288392773901,13,0.0003
62720008196887,13,0.0014
13904422260827,13,0.0002
27009368757547,13,0.0002
17302961143577,13,23.306
51920226112389,13,0.0002
44750018256433,13,0.0003
43027746574797,13,0.0002
60290119795471,13,0.0004
36492328278153,13,0.0002
33619496751137,13,0.0002
92961726408443,13,0.0035
31364981433931,13,0.0005
26100510847793,13,0.0005
69948203799587,13,0.0005
65182238305093,13,0.0002
14876685748179,13,0.0003
85021884234169,13,0.0006
77323475651013,13,0.0001
34331719127377,13,0.0003
44506929317021,13,0.031
87795252830797,13,0.0018
18787187150337,13,0.0002
34760445013927,13,0.0003
76662734574779,13,12.6952
64241628677237,13,0.0003
14501031063239,13,0.0002
95609337367069,13,0.0018
39103111634557,13,0.0004
50070521436253,13,40.7136
69657243733419,13,0.0001
82733936092667,13,0.0004
51068732506059,13,0.0002
18154086845133,13,0.0002
43069184741741,13,0.0005
75677642713401,13,0.0002
67739496768971,13,0.153
73024930643627,13,14.9752
67936513919713,13,0.0003
25059532130821,13,1.3182
33290268476949,13,0.0002
29233590392567,13,0.0002
61049215726147,13,0.0002
24846197948133,13,0.0002
95760594458813,13,0.0004
57033484351747,13,42.5718
83712437389811,13,0.0005
58404652799869,13,0.0003
20560992429901,13,0.0002
86137397738601,13,0.0002
52544412988187,13,0.0005
40518873400237,13,0.0004
237551194609297,14,87.4568
365975978190219,14,0.0002
868481340832293,14,0.0001
188842472830721,14,0.0004
623563364274003,14,0.0002
476690612145083,14,0.0002
110218656053567,14,0.0004
828250934492803,14,0.0002
865620418683061,14,0.0006
134080105643353,14,30.8361
962317859334677,14,0.0786
644951341307721,14,0.0002
430796883986171,14,0.0006
743188644138711,14,0.0002
650954335922127,14,0.0002
202488888666307,14,0.0003
181161563658541,14,60.7636
180103343297001,14,0.0002
891065962801573,14,0.0003
490375491910607,14,0.0005
186387728491139,14,0.0002
273430682801663,14,0.0004
798802554860333,14,0.001
759898163766343,14,0.0003
207660054478777,14,0.0003
807461682296549,14,0.0003
287563411535879,14,0.0035
617022566323671,14,0.0002
246344090761747,14,0.0003
543801751919929,14,0.0004
691217886269951,14,0.0012
967360482905249,14,0.0004
818363293340371,14,0.0009
224573865310407,14,0.0002
883488449103603,14,0.0002
190172144107559,14,0.0003
659926087930857,14,0.0004
593451157071433,14,1.0089
214762657996131,14,0.0002
574038520124593,14,11.0781
764586159129973,14,157.201
508763209760117,14,0.0002
824780319923639,14,0.0099
549564542743637,14,0.0037
